Date,Open,High,Low,Close,Volume,Change
2021-07-26,52600,52700,51400,51800,907906,-0.007662835249042099
2021-07-27,52000,52600,51800,52100,1076839,0.005791505791505891
2021-07-28,51700,52600,51600,52500,1101854,0.007677543186180413
2021-07-29,53000,53100,52500,52600,1150868,0.0019047619047618536
2021-07-30,50600,52000,50500,51300,1698067,-0.024714828897338448
2021-08-02,51200,51400,50600,50900,1091630,-0.007797270955165692
2021-08-03,51100,51600,50600,51600,1043675,0.013752455795677854
2021-08-04,52100,52900,51700,52700,1333664,0.02131782945736438
2021-08-05,52400,52900,52000,52000,927728,-0.013282732447817858
2021-08-06,52500,53300,51900,52200,1270530,0.0038461538461538325
2021-08-09,52600,53200,52500,53000,1879902,0.015325670498084198
2021-08-10,53200,53200,52100,52300,1162055,-0.013207547169811318
2021-08-11,52600,53600,52500,53600,1802909,0.0248565965583174
2021-08-12,54000,54000,53100,53400,1578901,-0.003731343283582045
2021-08-13,53800,53800,52200,53200,1382277,-0.0037453183520599342
2021-08-17,53500,53600,52700,53200,1440176,0.0
2021-08-18,53000,53500,52700,53000,917398,-0.003759398496240629
2021-08-19,52900,52900,51000,51300,1269467,-0.0320754716981132
2021-08-20,51400,51800,50200,50800,1843597,-0.00974658869395717
2021-08-23,50900,51800,50800,51100,1017940,0.0059055118110236116
2021-08-24,51500,52600,51400,52500,1402216,0.027397260273972712
2021-08-25,53100,53800,52600,53700,1215743,0.02285714285714291
2021-08-26,53900,54700,52900,54200,2216554,0.009310986964618184
2021-08-27,54100,54800,53600,54700,1461836,0.009225092250922495
2021-08-30,54800,54800,52500,52500,1885591,-0.04021937842778789
2021-08-31,52300,53100,51200,52900,2261916,0.007619047619047636
2021-09-01,53300,53400,52700,53100,1121570,0.003780718336483968
2021-09-02,52900,53600,52500,53100,1487899,0.0
2021-09-03,52900,53200,52600,52900,1134378,-0.0037664783427495685
2021-09-06,52900,52900,51500,51800,1528452,-0.020793950850661602
